"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"EIF3M",5,0,8,13,38.4615384615385,5
"PDGFRA",4,0,21,25,16,4
"RP11-887P2.5",4,0,15,19,21.0526315789474,4
"CHD1",3,0,133,136,2.20588235294118,3
"CTD-2007H13.3",3,0,126,129,2.32558139534884,3
"FCHSD2",3,0,13,16,18.75,3
"FIP1L1",3,0,9,12,25,3
"HNMT",3,1,124,128,2.34375,4
"IL8",3,0,28,31,9.67741935483871,3
"LNX1",3,0,7,10,30,3
"MAML2",3,0,41,44,6.81818181818182,3
"MIR1260B",3,0,41,44,6.81818181818182,3
"MIR28",3,0,24,27,11.1111111111111,3
"RNU6-402P",3,0,52,55,5.45454545454545,3
"SCFD2",3,0,9,12,25,3
"SNHG5",3,1,30,34,8.82352941176471,4
"AC002454.1",2,0,23,25,8,2
"AC003075.4",2,0,28,30,6.66666666666667,2
"AC007750.5",2,0,5,7,28.5714285714286,2
"AC016821.1",2,0,7,9,22.2222222222222,2
"AC092669.1",2,0,23,25,8,2
"AC106873.4",2,0,5,7,28.5714285714286,2
"AC108004.3",2,0,37,39,5.12820512820513,2
"ADRB1",2,0,16,18,11.1111111111111,2
"AHR",2,0,28,30,6.66666666666667,2
"AL357060.1",2,0,21,23,8.69565217391304,2
"AL591034.1",2,0,42,44,4.54545454545455,2
"AP001442.2",2,0,10,12,16.6666666666667,2
"APOLD1",2,0,18,20,10,2
"BCL11A",2,0,4,6,33.3333333333333,2
"BCL6",2,0,54,56,3.57142857142857,2
"C17orf97",2,0,37,39,5.12820512820513,2
"C4orf45",2,0,32,34,5.88235294117647,2
"C6orf52",2,0,17,19,10.5263157894737,2
"CCT6B",2,0,19,21,9.52380952380952,2
"CD180",2,0,12,14,14.2857142857143,2
"CD9",2,0,25,27,7.40740740740741,2
"CDK6",2,0,23,25,8,2
"CDKN1B",2,0,24,26,7.69230769230769,2
"CHIC2",2,0,21,23,8.69565217391304,2
"CREBL2",2,0,7,9,22.2222222222222,2
"CSTF3",2,0,19,21,9.52380952380952,2
"CSTF3-AS1",2,0,19,21,9.52380952380952,2
"CTD-2260A17.1",2,0,13,15,13.3333333333333,2
"DNAJB9",2,0,73,75,2.66666666666667,2
"DOCK4-AS1",2,0,8,10,20,2
"DUSP16",2,0,8,10,20,2
"ELOVL5",2,0,25,27,7.40740740740741,2
"ERAP2",2,0,24,26,7.69230769230769,2
"FAM101A",2,0,46,48,4.16666666666667,2
"FGD6",2,0,15,17,11.7647058823529,2
"FLRT1",2,0,2,4,50,2
"GCG",2,0,3,5,40,2
"GCNT6",2,0,4,6,33.3333333333333,2
"GGCX",2,0,14,16,12.5,2
"GPR19",2,0,14,16,12.5,2
"GTF2A1",2,0,57,59,3.38983050847458,2
"HNRNPH3",2,0,33,35,5.71428571428571,2
"IFNGR1",2,0,35,37,5.40540540540541,2
"IL1RAP",2,0,18,20,10,2
"LBR",2,0,21,23,8.69565217391304,2
"LDLRAD4",2,0,50,52,3.84615384615385,2
"LIG3",2,0,19,21,9.52380952380952,2
"LINC01011",2,0,32,34,5.88235294117647,2
"LIX1",2,0,35,37,5.40540540540541,2
"LPP",2,0,16,18,11.1111111111111,2
"LPP-AS2",2,0,16,18,11.1111111111111,2
"MACROD1",2,0,4,6,33.3333333333333,2
"MAT2A",2,0,23,25,8,2
"MBNL1",2,0,11,13,15.3846153846154,2
"MBNL1-AS1",2,0,10,12,16.6666666666667,2
"MEIS1",2,0,32,34,5.88235294117647,2
"MEIS1-AS2",2,0,23,25,8,2
"MRPL13",2,0,21,23,8.69565217391304,2
"MTBP",2,0,21,23,8.69565217391304,2
"MYB",2,0,23,25,8,2
"MYB-AS1",2,0,22,24,8.33333333333333,2
"MYL12B",2,0,63,65,3.07692307692308,2
"NQO2",2,0,32,34,5.88235294117647,2
"NR2C1",2,0,6,8,25,2
"OPTC",2,0,33,35,5.71428571428571,2
"PABPC1P4",2,0,6,8,25,2
"PAK1IP1",2,0,17,19,10.5263157894737,2
"PAQR3",2,0,25,27,7.40740740740741,2
"PBLD",2,0,33,35,5.71428571428571,2
"PF4V1",2,0,20,22,9.09090909090909,2
"PLXND1",2,0,29,31,6.45161290322581,2
"PNPLA8",2,0,73,75,2.66666666666667,2
"PPID",2,0,72,74,2.7027027027027,2
"RAPGEF2",2,0,45,47,4.25531914893617,2
"RHO",2,0,24,26,7.69230769230769,2
"RNA5SP203",2,0,7,9,22.2222222222222,2
"RNU6-549P",2,0,20,22,9.09090909090909,2
"RNU6-709P",2,0,27,29,6.89655172413793,2
"RNU7-169P",2,0,23,25,8,2
"RP1-3J17.3",2,0,26,28,7.14285714285714,2
"RP11-158N24.1",2,0,8,10,20,2
"RP11-180M15.4",2,0,18,20,10,2
"RP11-180M15.5",2,0,7,9,22.2222222222222,2
"RP11-196H14.2",2,0,9,11,18.1818181818182,2
"RP11-211G3.2",2,0,54,56,3.57142857142857,2
"RP11-21A7A.3",2,0,5,7,28.5714285714286,2
"RP11-421M1.8",2,0,7,9,22.2222222222222,2
"RP11-496B10.3",2,0,31,33,6.06060606060606,2
"RP11-536G4.2",2,0,12,14,14.2857142857143,2
"RP11-637O19.3",2,0,7,9,22.2222222222222,2
"RP11-794M8.1",2,0,50,52,3.84615384615385,2
"RP13-270P17.1",2,0,63,65,3.07692307692308,2
"RP3-483K16.4",2,0,25,27,7.40740740740741,2
"RPL31P28",2,0,25,27,7.40740740740741,2
"SERPINB1",2,0,35,37,5.40540540540541,2
"SNRPF",2,0,12,14,14.2857142857143,2
"SNX14",2,1,82,85,2.35294117647059,3
"SRGAP1",2,0,0,2,100,2
"SUPT4H1",2,0,7,9,22.2222222222222,2
"SYCP2L",2,0,8,10,20,2
"SYNCRIP",2,1,51,54,3.7037037037037,3
"THAP5",2,0,73,75,2.66666666666667,2
"TM4SF18",2,0,8,10,20,2
"TMEM14B",2,0,7,9,22.2222222222222,2
"TMEM14E",2,0,7,9,22.2222222222222,2
"TMEM150A",2,0,16,18,11.1111111111111,2
"TMEM5",2,0,12,14,14.2857142857143,2
"TMEM5-AS1",2,0,6,8,25,2
"TPRG1",2,0,41,43,4.65116279069767,2
"TTC14",2,0,31,33,6.06060606060606,2
"USP39",2,0,34,36,5.55555555555556,2
"VAMP8",2,0,14,16,12.5,2
"VEZT",2,0,16,18,11.1111111111111,2
"VRK2",2,0,17,19,10.5263157894737,2
"VWF",2,0,25,27,7.40740740740741,2
