"","p.value_activities","Non_reponder_mean.mean of x","Responder.mean of y"
"AR",0.188709987149975,-0.299411595547964,0.292509894921901
"ARNTL",0.81792067434835,0.00461052172873755,-0.113200606719863
"ATF1",0.281053934523711,-0.216775090944743,0.127588733249452
"ATF2",0.409508514110173,0.182380027265097,-0.140413595350739
"ATF4",0.480451316888474,0.0670150586903105,-0.175034050696401
"ATF6",0.416850910206226,0.0594515602266508,-0.354750833891788
"BACH1",0.781832475148973,-0.0737809904169111,0.0457044955573907
"CDX2",0.5125650454625,-0.0210021819650355,0.288161499535531
"CEBPA",0.297009049875058,-0.136741868799577,0.582998868335603
"CEBPB",0.419006694004011,-0.221642535975618,0.116847089701307
"CEBPD",0.282012312586465,-0.13437856858685,0.249333228977338
"CREB1",0.64006252803106,0.0280831068742569,-0.192350882058759
"CTCF",0.355850358869593,-0.192251055706308,0.346756577134881
"E2F1",0.102336532727203,-0.975403582167787,0.564760086680953
"E2F2",0.114628917440791,-1.01380673767206,0.745969293305029
"E2F3",0.693977163674627,-0.281476895196283,-0.0413795390460144
"E2F4",0.083753135543094,-1.43904379824524,0.922834819354925
"EGR1",0.966318581524421,-0.0141015841088941,-0.0339950461165717
"ELK1",0.103227830422924,0.390450055110138,-0.409462171996025
"EPAS1",0.672037011409144,-0.108013968459829,0.0596805774648512
"ERG",0.82584788271548,0.0783789886539468,0.015625973246307
"ESR1",0.672019837151588,0.111033876871655,-0.092095416187579
"ESR2",0.147945931010546,-0.140785938248747,0.445232691060689
"ETS1",0.476391516032192,0.0622845189355867,-0.330773813629195
"ETS2",0.998241362908946,0.100345329530644,0.0993328269077116
"ETV4",0.334015201683059,0.0530280632086639,0.311438365497463
"FLI1",0.00694321245539895,-0.571083283218618,0.599215322011262
"FOS",0.342222757128737,0.133595721492566,-0.364185838897224
"FOSL1",0.986615953519766,0.0455675113176269,0.0523866507367583
"FOSL2",0.262182649211299,-0.136721976459951,0.269849505746731
"FOXA1",0.656052013128969,-0.0380633100537831,0.085822448802708
"FOXA2",0.143030882171822,0.179541503906329,-0.418457884797856
"FOXL2",0.345524053210915,0.242425337260678,-0.0871954468614484
"FOXM1",0.227613133438631,-0.478988494141741,0.353313797974236
"FOXO1",0.864300333063014,0.143085356358934,0.0596821212985667
"FOXO3",0.255494791618443,-0.352417690977175,0.184257140811488
"FOXO4",0.154868125695119,-0.0791781815691005,0.403239117076641
"FOXP1",0.116705265243335,-0.23677562638052,1.04539679713174
"GATA1",0.150734982802369,-0.032120670546816,0.445287275170136
"GATA2",0.456291230529538,-0.252794708092193,0.0658379954658238
"GATA3",0.244761311415965,0.47483723223254,-0.305680821834602
"GLI2",0.728505427200275,-0.0152854359056919,-0.152812058239127
"HIF1A",0.0721355857934178,-0.444564640529846,0.676128320569496
"HNF1A",0.0786052975682528,0.164718877405531,0.651315321269897
"HNF4A",0.854690354377095,0.179782641496915,0.25868235086262
"HSF1",0.0103094087924597,-0.623774563737177,0.773364508394563
"IRF1",0.580825700044501,-0.192886932349614,0.0435315890192934
"IRF9",0.0917930519170375,0.428828747409888,-0.64693793175965
"JUN",0.681825021289953,0.156970033894074,-0.0327493879614458
"JUND",0.6694508918282,0.284786901908915,0.118935318740472
"KLF4",0.0020031865215538,0.439994704037514,-0.748296478785982
"LEF1",0.868793520389526,-0.0110107880684062,-0.0609251623350114
"MITF",0.619962504536264,-0.0201329620702125,-0.266042455052084
"MYB",0.78593099142751,0.0311774417919398,-0.106012719192168
"MYC",0.0609925710389944,-1.05453063994291,0.944357915884088
"MYCN",0.0624976209697328,-0.699815788118552,0.710407309732694
"NFATC2",0.579897479115063,0.0930177809286313,-0.128922551601889
"NFE2L2",0.824244876873072,0.137996858192277,0.0300283563878904
"NFIC",0.146413057684177,-0.298629707033228,0.396183416179906
"NFKB1",0.581954002175743,-0.158220365201866,0.270349563856878
"NFKB2",0.25106175279318,0.250323837787339,-0.159265033245617
"NFYA",0.723696247469132,0.0158623898717455,0.157237924460768
"NR2F2",0.426717244830526,0.0358859771364267,0.285981936144694
"NR3C1",0.45393173751954,-0.0416430845185196,0.211904668546404
"NR5A1",0.0587220405364531,0.388322834936768,-0.416408759629106
"PAX6",0.084500286047752,-0.132953031018878,0.386823668946346
"PAX8",0.699128415460071,0.0434687884991284,-0.0867303530249672
"PGR",0.448471678935454,-0.20695611864142,0.0837122836670243
"POU2F1",0.996197311133932,-0.00490739086253339,-0.00653871306352856
"PPARA",0.181467419971418,0.15629537621756,-0.345860712400525
"PPARG",0.264965154745592,0.263625217725906,-0.287691634015731
"PRDM14",0.785908083522983,0.0877502202939385,-0.0732086202245782
"RARA",0.679698799882785,-0.0129745723724171,0.153422849040378
"REL",0.406563859274667,-0.191326428283648,0.148435421648218
"RELA",0.930434661589682,-0.0507702299358716,-0.114678386328329
"RELB",0.613756701194875,-0.192288563727554,0.0241662940949068
"REST",0.314291182907963,0.0957316803989863,-0.15784395473561
"RFX5",0.827710097585198,-0.277757731655467,-0.0426606462334331
"RFXANK",0.823856995592042,-0.280256275597319,-0.035721900396593
"RFXAP",0.823856995592042,-0.280256275597319,-0.035721900396593
"RUNX1",0.208822716222441,0.427291788858941,-0.516314785587851
"RUNX3",0.285357912026024,0.14301554428902,-0.350669165754554
"RXRA",0.0939194770888232,-0.206136521902566,0.479196720864687
"SMAD3",0.841851050958477,-0.0157219415399295,0.0566336252288596
"SMAD4",0.350733664805662,0.241140524145356,-0.134168055835376
"SOX10",0.545737809002569,0.105702885622596,-0.158649454008865
"SOX2",0.844827586243294,-0.00628720133628069,-0.160254504654191
"SOX9",0.259599358471281,0.322336761582388,-0.0603339630109603
"SP1",0.672029631784333,-0.0045005040861109,0.286335098440112
"SP3",0.17092386085802,0.326554441023631,0.0136708382362826
"SPI1",0.807240410386903,-0.0475751314325359,0.16106889836167
"SREBF1",0.708211869963318,-0.151409264159919,-0.00556220148305481
"SREBF2",0.994198739013972,0.027414739990118,0.0309351471681695
"SRF",0.108166924274186,-0.15847056730288,0.362647109694847
"STAT1",0.367581674897886,0.0368649309416186,-0.842367107943647
"STAT2",0.493165833210479,0.195244892408283,-0.524610325812156
"STAT3",0.434777429623826,-0.183508809370389,0.116626412334864
"STAT4",0.529342361478837,-0.151504143468971,0.140987029780363
"STAT5A",0.314880155911133,-0.149665276853681,0.280932607810232
"STAT5B",0.319899118029456,-0.199146533418541,0.284882894492478
"STAT6",0.920311854793054,0.0743772836577059,0.0213464549278772
"TAL1",0.0078650092426851,-0.413559589194537,0.408001422750779
"TCF3",0.764824971733801,-0.0531497952107507,-0.166589597836415
"TCF7L2",0.162087689174751,0.118002679555719,-0.331375822878989
"TFAP2A",0.692399855419886,-0.0566440349154437,0.0881200100254158
"TFAP2C",0.320041095341552,0.0903675817810886,-0.248492511007882
"TFDP1",0.622944362019096,-0.330149377698109,-0.106324499139898
"TP53",0.545484808618326,-0.184979721369361,0.0794924091560753
"TP63",0.490702980202069,0.141756205419707,0.383086871151637
"TWIST1",0.718275639521608,-0.0598621603695078,-0.200227983965253
"USF1",0.0105314965499159,-0.303626402415644,0.732935899393372
"USF2",0.0143594132173574,-0.348819493756322,0.857813772352148
"VDR",0.138334396454165,0.146209128342719,-0.230512133459532
"WT1",0.723645251385562,0.0184137831371142,-0.0941600626676016
"YY1",0.664227326575503,0.0219568471603439,-0.199948849573747
"ZBTB33",0.695092902518598,-0.208282783392295,-0.0757483547881413
"ZEB1",0.962129642486458,0.00179472413290818,-0.0128469089566894
"ZNF263",0.898071001284728,0.172070433038025,0.27881542471358
